id,id.1,relationship
Isaac C,Rose B,Child
Isbel A,Sarah Flatfoot,Child
Israel A,Isrias A,Sibling
Israel A,Penny B,Sibling
Israel A,Priscilla A,Child
Israel A,Savary A,Sibling
Israel A,Sophia A,Sibling
Isrias A,Penny B,Sibling
Isrias A,Priscilla A,Child
Isrias A,Savary A,Sibling
Isrias A,Sophia A,Sibling
Jack A,Doll C,Child
Jack A,Jack J,Sibling
Jack A,James B,Sibling
Jack A,Natt B,Child
Jack A,Natt C,Sibling
Jack A,Peter D,Sibling
Jack C,Molly D,Spouse
Jack E,Siss B,Spouse
Jack F,Delia B,Child
Jack F,Julia A,Sibling
Jack J,Doll C,Child
Jack J,Jack A,Sibling
Jack J,James B,Sibling
Jack J,Natt B,Child
Jack J,Natt C,Sibling
Jack J,Peter D,Sibling
Jacob A,Flora A,Child
Jacob A,Joy A,Sibling
James B,Doll C,Child
James B,Natt B,Child
James B,Natt C,Sibling
James B,Peter D,Sibling
James C,Molly B,Child
James C,Sylvia A,Sibling
Jamie A,Charles A,Child
Jamie A,Fanny A,Child
Jemima A,Caroline A,Child
Jemima A,Leanthe A,Sibling
Jemima A,Peter B,Sibling
Jemima A,Peter Hardman,Child
Jemima A,Polly B,Sibling
Jemima A,Rachel A,Sibling
Jemima A,Wilson A,Sibling
Jenny A,Charlotte A,Child
Jenny A,Timothy A,Sibling
Jenny C,Grace B,Child
Jenny C,Jack D,Child
Jenny C,Molly E,Sibling
Jenny C,Roger A,Sibling
Jenny F,Lucy A,Child
Jenny F,Nat A,Child
Jesse A,Patt A,Child
Jesse B,George B,Child
Jesse B,Kate D,Sibling
Jesse B,Lawrence B,Sibling
Jesse B,Sall Twine,Child
Joe A,Daphne C,Child
Joe A,Lucy D,Sibling
Joe A,Moses B,Sibling
Joe B,Priscilla A,Spouse
Joe C,Sall Brass,Spouse
Joe D,Rose A,Child
Joe D,Simon A,Sibling
Joe D,Tom C,Sibling
Joe G,Hannah B,Child
Joe G,Ned B,Child
John A,Godfrey A,Child
John A,Mima A,Child
John A,Randolph A,Sibling
John C,Betty A,Child
John C,Lucretia A,Sibling
John C,Mary A,Sibling
Jonathan A,George E,Child
Jonathan A,Jenny D,Child
Joy A,Flora A,Child
Jude A,Alce D,Child
Jude A,John B,Child
Jude A,Suckey D,Sibling
Judy B,Alce C,Child
Judy B,Charles Freeman,Child
Judy B,Tom B,Sibling
Judy B,Viner A,Sibling
Judy D,Davy E,Child
Judy D,Grace C,Child
Judy D,Sall C,Sibling
Julia A,Delia B,Child
Julia A,Nelly A,Sibling
Kate A,Alce B,Child
Kate A,Sam A,Child
